municipality,county_council_district,council_representative,senatorial_district,legislative_district,congressional_district,council_of_government,police_chief,fire_chief,ems_agency,sanitary_authority,school_district,contact_name,contact_address,contact_phone,median_property_value,certified_taxable_value,certified_exempt_value,certified_purta_value,certified_all_real_estate,square_miles,muni_code,school_code
City of Pittsburgh,NA,NA,"38, 42, 43","19, 20, 21,23, 24, 27,34, 36, 42",18,NA,Scott Schubert,Darryl E. Jones,Pittsburgh EMS,Alcosan,PITTSBURGH,NA,NA,412-255-2525,68200,21536379375,11790035368,21967663,33348382406,55.5,100,47
Borough of Pleasant Hills,6,John F. Palmiere,37,38,18,South Hills Area,Brian Finnerty,Randy Porter,Baldwin EMS,Pleasant Hills Sanitation Authority,WEST JEFFERSON,"Kelly Theiss, Borough Manager","410 E. Bruceton RoadPittsburgh, PA  15236",412-653-6321,129800,626928443,41115200,430500,668474143,2.5,873,44
Borough of Plum,8,Michelle Naccarati-Chapkis,45,"25, 32",12,Turtle Creek Valley,Lanny Conley,Four Volunteer Fire Chiefs,Plum EMS,Plum Borough Municipal Authority,PLUM,"David Soboslay, Manager","2000 Mike Thomas WayPittsburgh, PA  15239",412-795-4600,117450,1668217714,192253200,2742100,1863213014,28.88,880,31
Borough of Port Vue,9,Robert J. Macey,45,38,14,Steel Rivers COG,Bryan R. Myers,Frank J. Cortazzo,McKeesport Ambulance Rescue,MACM,SOUTH ALLEGHENY,"Malisa Migliory, Manager","1191 Romine AvenuePort Vue, PA  15133",412-664-9323,53100,110111433,12597100,35400,122743933,1.14,848,35
Borough of Rankin,8,Michelle Naccarati-Chapkis,43,34,14,Turtle Creek Valley,Ryan Wooten,James Megley,Priority One EMS,Alcosan,WOODLAND HILLS,"Shane Lanham, Secretary","320 Hawkins AvenueRankin, PA 15104",412-271-6605,14300,22352490,13960100,91500,36404090,0.44,849,9
Reserve Township,3,Anita Prizio,42,21,12,North Hills,Brandon Morgan,Dave Moore Jr.,Ross/West View EMSA,Alcosan,SHALER AREA,"Jan Kowalski, Manager","33 Lonsdale StreetPittsburgh, PA 15212",412-322-1551,94800,162894980,10612200,21900,173529080,1.98,937,34
Richland Township,2,Suzanne Filiaggi,38,30,12,North Hills,Northern Regional Police Dept.,David McWilliams,Richland EMS,NA,PINE-RICHLAND,"Brian O'Malley, Manager","4019 Dickey RoadGibsonia, PA 15044",724-731-2300,168300,1143527997,155979200,1188000,1300695197,14.68,938,3
Robinson Township,4,Patrick J. Catena,37,45,"14, 18",South Hills Area,Timothy Westwood,"Rippole, Fashian, Kisow",Robinson EMS,MATR,MONTOUR,"Frank Piccolino, Manager","1000 Church Hill RoadPittsburgh, PA 15205",412-788-8120,148400,1960646321,191312140,1446700,2153405161,15.49,939,24
Ross Township,1,Jack Betkowski,38,"20, 21",12,North Hills,Joseph Ley,John Reubi,Ross/West View EMSA,Alcosan,NORTH HILLS,"Ronald Borczyk, Township Manager","1000 Ross Municipal DrivePittsburgh, PA 15237",412-835-5243,134600,2632983006,220666600,992550,2854642156,14.5,940,28
Borough of Rosslyn Farms,12,Robert Palmosina,37,45,18,Char-West,Scott Township Police,Crafton Volunteer Fire Company,Robinson EMS,Alcosan,CARLYNTON,"Samuel Maccarone, Secretary/Treasurer","200 Rosslyn RoadCarnegie, PA 15106",412-312-0343,236300,61399290,2680000,27100,64106390,0.47,850,7
Scott Township,12,Robert Palmosina,42,"42, 45",18,South Hills Area,James Secreet,Three Volunteer Fire Chiefs,Scott Township EMS,Alcosan,CHARTIERS VALLEY,"Denise H. Fitzgerald, Manager/Secretary","301 Lindsay Road, 2nd FL Carnegie, PA 15106",412-276-5302,122100,980820720,201686700,291200,1182798620,3.75,941,8
Borough of Sewickley,2,Suzanne Filiaggi,37,44,12,Quaker Valley,David Mazza,Shane Quinn,Quaker Valley Ambulance,Waste Management,QUAKER VALLEY,"Donna M. Kaib, Borough Manager","601 Thorn Street PO Box 428Sewickley, PA 15143",724-731-2319,210000,522671991,123105100,711100,646488191,0.98,851,32
Borough of Sewickley Hts.,2,Suzanne Filiaggi,37,44,12,Quaker Valley,JJ Harrison,Bill Davis,Quaker Valley Ambulance,NA,QUAKER VALLEY,"Katie Stringent, Manager","Borough Hall, 238 Country Club Rd.Sewickley, PA 15143",412-741-5119,632100,284896201,17711200,0,302607401,7.43,869,32
Borough of Sewickley Hills,2,Suzanne Filiaggi,37,44,12,NA,Ohio Township Police,Ohio Township Fire Dept.,Quaker Valley Ambulance,NA,QUAKER VALLEY,"Diana Steele, Secretary","349 Magee RoadSewickley, PA 15143",412-741-7734,248300,98400875,3469800,0,101870675,2.41,882,32
Shaler Township,3,Anita Prizio,38,"21, 30",12,North Hills,Sean Frank,Six Volunteer Fire Chiefs,Shaler-Hampton EMS,Alcosan,SHALER AREA,"Chris Lovato, Manager","300 Wetzel RoadGlenshaw, PA 15116",412-486-9700 x224,132200,1824103698,149746300,2422800,1976272798,10.74,944,34
Borough of Sharpsburg,3,Anita Prizio,42,21,14,North Hills,Thomas Stelitano,Louis Costanzo,Seneca Area EMS,Hampton-Shaler Water Authority,FOX CHAPEL AREA,"Will Rossey, Borough Manager","1611 Main StreetPittsburgh, PA 15215",412-781-7749,55100,133912456,12860100,386300,147158856,0.75,852,17
South Fayette Township,4,Patrick J. Catena,37,46,18,South Hills Area,John Phoennik,Four Volunteer Fire Chiefs,South Bridge EMS,Alcosan,SOUTH FAYETTE,"John M. Barrett, Manager","100 Township DriveSouth Fayette, PA 15017",412-221-8700,165400,1703337060,197779200,338600,1901454860,20.95,946,36
South Park Township,6,John F. Palmiere,37,"38, 39",18,South Hills Area,Dennis McDonough,"Mark D'Alessandro, John Boland",Tri-Community South EMS,NA,SOUTH PARK,"Karen F. Fosbaugh, Manager","2675 Brownsville RoadSouth Park, PA 15129",412-833-8292,130600,867702805,172333600,353700,1040390105,9.2,945,37
South Versailles Township,9,Robert J. Macey,45,35,18,Steel Rivers COG,White Oak Borough Police,Larry Robertson,White Oak EMS,NA,MCKEESPORT AREA,"Arabella Kulasa, Secretary","Box 66Coulter, PA 15028",412-754-2536,43650,14071250,1450300,0,15521550,0.85,947,23
Borough of Springdale,7,Nicholas Futules,38,33,14,Allegheny Valley North,George Polnar,Kevin Wilhelm,Lower Valley Ambulance,Allegheny Valley Joint Sewage,ALLEGHENY VALLEY,"Kimberly A. McAfoose, Manager","325 School Street Springdale, PA 15144",724-274-6269,82200,145253090,39934000,238900,185425990,0.99,853,1
Springdale Township,7,Nicholas Futules,38,33,14,Allegheny Valley North,Michael Navigli,Kevin Funkhouser,Lower Valley Ambulance Service,NA,ALLEGHENY VALLEY,"Dawn A. Biery, Secretary","100 Plate DriveHarwick, PA 15049",724-274-4416,80000,85964820,4349900,746900,91061620,4.5,948,1
Stowe Township,4,Patrick J. Catena,42,45,14,Char-West,Matthew Preininger,Matthew Chapman,Northwest EMS,Alcosan,STO-ROX,"Roberta Farls, Township Secretary","555 Broadway AvenueMcKees Rocks, PA 15136",724-731-2311,37150,186398590,30118800,127900,216645290,2.15,949,39
Borough of Swissvale,8,Michelle Naccarati-Chapkis,43,34,14,Turtle Creek Valley,Ellis Watson,Clyde Wilhelm,Eastern Area Prehospital Services,Alcosan,WOODLAND HILLS,"Clyde Wilhelm, Borough Manager","7560 Roslyn StreetPittsburgh, PA 15218",412-351-3342,65000,342272630,42514700,74000,384861330,1.16,854,9
Borough of Tarentum,7,Nicholas Futules,38,33,14,Allegheny Valley North,William Vakulick,Three Volunteer Fire Chiefs,Eureka VFD,NA,HIGHLANDS,"Michael L. Nestico, Borough Manager","318 Second AvenueTarentum, PA  15084",724-224-1179,40000,106096095,34081800,223800,140401695,1.09,855,21
Borough of Thornburg,4,Patrick J. Catena,37,27,18,Char-West,Crafton Police,Crafton VFD,Robinson EMS,Alcosan,MONTOUR,"Dorothy Falk, Secretary/Treasurer","545 Hamilton RoadPittsburgh, PA  15205",412-835-5243,227800,59939700,1347600,19586,61306886,0.42,856,24
Borough of Trafford,8,Michelle Naccarati-Chapkis,45,25,14,NA,Carmen Disso,Brian Lindbloom,Trafford EMS,Alcosan,PENN-TRAFFORD º,"Ashley Stack, Manager","414 Brinton AvenueTrafford, PA  15085",412-372-5361,71050,3365900,0,7100,3373000,0,857,49
Borough of Turtle Creek,8,Michelle Naccarati-Chapkis,45,34,14,Turtle Creek Valley,Dale Kraeer,Jack Osman,Eastern Area Prehospital Services,Alcosan,WOODLAND HILLS,"Julie Pantalone, Manager","125 Monroeville AvenueTurtle Creek, PA  15145",412-824-1835,31000,109791659,33791800,444700,144028159,0.97,858,9
Upper St. Clair Township,5,Dan Grzybek,37,40,18,South Hills Area,Jonathan E. Wharton,Ted Hale,Tri-Community South EMS,Alcosan,UPPER ST. CLAIR,"Matthew R. Serakowski, Manager","1820 McLaughlin Run RoadUpper St. Clair, PA  15241",412-831-9000,237300,2354218564,255725900,268800,2610213264,9.95,950,42
Borough of Verona,7,Nicholas Futules,43,32,14,Allegheny Valley North,Ron McLemore,Dan Tihey,Lower Valley EMS,Alcosan,RIVERVIEW,"Stefanie Woolford, Manager","736 East Railroad AvenueVerona, PA  15147",412-828-8080,51700,100994900,13323200,42900,114361000,0.53,859,33
Borough of Versailles,9,Robert J. Macey,45,35,14,Steel Rivers COG,Charles Roka,Timothy Walker,White Oak EMS,MACM,MCKEESPORT AREA,"Tabitha Wolfe, Borough Secretary","5100 Walnut StreetMcKeesport, PA  15132",412-751-3922,44000,47013215,3298200,95200,50406615,0.49,860,23
Borough of Wall,8,Michelle Naccarati-Chapkis,45,25,14,Turtle Creek Valley,East McKeesport Police,Shane Spielvogel,Eastern Area Prehospital Services,Alcosan,EAST ALLEGHENY,"Valentina Lachimia, Secretary","413 Wall AvenueWall, PA  15148",412-824-3333,9050,13031700,4599200,3600,17634500,0.48,861,14
West Deer Township,3,Anita Prizio,38,54,12,North Hills,Robert Loper,3 Volunteer Fire Companies,West Deer EMS,NA,DEER LAKES,"Daniel J. Mator, Manager","133 East Union RoadCheswick, PA  15024",724-265-4250,122000,829623950,96005300,562600,926191850,28.65,952,12
Borough of West Elizabeth,9,Robert J. Macey,45,39,18,Steel Rivers COG,Elizabeth Borough Police,Ray Armstrong Jr.,Jefferson Hills Ambulance Assoc.,NA,WEST JEFFERSON,"Robin Stockton, Secretary","PO Box 716West Elizabeth, PA  15088",412-384-7247,33500,15573600,2050700,13800,17638100,0.25,862,44
Borough of West Homestead,11,Paul Klein,43,34,14,Steel Rivers COG,Charles Rozzo,John G. Dindak,Baldwin Emergency Management Services,Alcosan,STEEL VALLEY,"Donna M. McMichael, Secretary","456 West Eigth AvenueHomestead, PA  15120",412-461-1844,80300,142083242,3391800,96800,145571842,0.82,863,38
Borough of West Mifflin,9,Robert J. Macey,45,"35, 38",14,South Hills Area,Gregory A. McCulloch,4 Volunteer Fire Companies,Pleasant Hills-Baldwin-West Mifflin,"WMSSMA, Alcosan",WEST MIFFLIN AREA,"Brian M. Kamauf, Manager","1020 Lebanon RoadWest Mifflin, PA  15122",412-466-8177,72300,998460552,424940500,3340600,1426741652,14.35,870,45
Borough of West View,1,Jack Betkowski,38,20,12,North Hills,Bruce Fromlak,George Hollenberger,Ross/West View EMSA,Alcosan,NORTH HILLS,"Bruce Fromlak, Manager","441 Perry HighwayPittsburgh, PA  15229",412-931-1633,98200,316386707,26267100,450600,343104407,1.02,864,28
Borough of Whitaker,9,Robert J. Macey,43,35,14,Steel Rivers COG,Charles Considine,Leonard Hilligsberg,Baldwin EMS,Alcosan,WEST MIFFLIN AREA,"Jean Warren, Secretary","1500 Ardmore Boulevard, Suite 409Pittsburgh, PA  15221-4468",412-464-1199,47200,30922045,2569200,13300,33504545,0.26,865,45
Borough of White Oak,9,Robert J. Macey,45,35,14,Steel Rivers COG,Louis Bender,"Steven Staniech, B.J. Schmidt",White Oak EMS,MAWC,MCKEESPORT AREA,"John Palyo, Borough Manager","2280 Lincoln WayWhite Oak, PA  15131",412-678-0437,79650,378343578,58750900,206900,437301378,6.55,875,23
Borough of Whitehall,6,John F. Palmiere,37,38,18,South Hills Area,Keith P. Henderson,Eric Harris,Medical Rescue Team South,Alcosan,BALDWIN-WHITEHALL,"Courtney M. Wertz, Manager","100 Borough Park DrivePittsburgh, PA  15236",412-881-1644,132000,882570382,93315300,150100,976035782,3.19,874,4
Wilkins Township,7,Nicholas Futules,43,34,14,Turtle Creek Valley,Randy Lamb,Davis/Hoover/Bowler,Woodland Hills EMS,Alcosan,WOODLAND HILLS,"Rebecca Vargo, Manager","110 Peffer RoadTurtle Creek, PA  15145",412-824-6860,79150,396272690,14409300,150900,410832890,2.75,953,9
Borough of Wilkinsburg,10,DeWitt Walton,43,24,14,Turtle Creek Valley,Ophelia Coleman,Pittsburgh Bureau of Fire,Eastern Area Prehospital Services,Alcosan,WILKINSBURG,"John Antinori, Borough Manager","605 Ross AvenuePittsburgh, PA 15221",610-599-3143,34350,437951186,77685200,2550300,518186686,2.09,866,46
Borough of Wilmerding,8,Michelle Naccarati-Chapkis,45,25,14,Turtle Creek Valley,County Police,Tom Hartzell,Eastern Area Prehospital Services,Alcosan,EAST ALLEGHENY,"Joseph Hartzell, Secretary/Treasurer","301 Station StreetWilmerding, PA  15148",412-823-4421,26600,38856740,6811000,48000,45715740,0.48,867,14
